Price,Age,KM,Fuel,HP,MC,Colour,Auto,CC,Drs,Cyl,Grs,Wght,G_P,Mfr_G,ABS,Abag_1,Abag_2,AC,Comp,CD,Clock,Pw,PStr,Radio,SpM,M_Rim,Tow_Bar
21000.00,26,31463,Petrol,195,0,Silver,0,1800,3,3,6,1189,10,1,1,1,1,1,0,1,1,1,1,0,0,1,0
20000.00,23,43612,Petrol,195,0,Red,0,1800,3,3,6,1189,4,1,1,1,1,1,1,0,1,1,1,0,1,1,0
19650.00,26,32191,Petrol,195,0,Red,0,1800,3,3,6,1189,4,1,1,1,1,1,1,0,1,1,1,0,1,1,0
21550.00,32,23002,Petrol,195,1,Black,0,1800,3,3,6,1189,4,1,1,1,1,1,1,1,1,1,1,0,1,1,0
22550.00,33,34133,Petrol,195,1,Grey,0,1800,3,3,6,1189,4,1,1,1,1,1,1,1,1,1,1,0,1,1,0
22050.00,29,18741,Petrol,195,0,Grey,0,1800,3,3,6,1189,4,1,1,1,1,1,1,0,1,1,1,0,1,1,0
22800.00,31,34002,Petrol,195,1,Grey,0,1800,3,3,5,1189,4,1,1,1,1,1,1,1,1,1,1,0,0,1,0
18000.00,25,21718,Petrol,113,1,Blue,0,1600,3,3,5,1109,20,0,1,1,0,0,0,0,1,1,1,1,0,0,1
16800.00,25,25565,Petrol,113,0,Grey,0,1600,3,3,5,1069,4,0,1,1,1,1,1,1,1,1,1,0,0,0,0
17000.00,31,64361,Petrol,113,1,Grey,0,1600,3,3,5,1109,4,1,1,1,1,0,1,1,1,1,1,0,1,0,0
16000.00,31,67662,Petrol,113,1,Blue,0,1600,3,3,5,1109,4,1,1,1,1,0,1,1,1,1,1,0,1,0,1
17000.00,30,43907,Petrol,113,0,Grey,1,1600,3,3,5,1174,4,1,1,1,1,1,1,0,1,1,1,0,1,0,0
16000.00,29,56351,Petrol,113,1,Black,0,1600,3,3,5,1124,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1
17000.00,29,32222,Petrol,113,1,Black,0,1600,3,3,5,1124,4,1,1,1,1,1,1,1,1,1,1,0,1,0,0
16300.00,30,25815,Petrol,113,1,Grey,0,1600,3,3,5,1124,4,1,1,1,1,1,1,1,1,1,1,0,1,0,0
16000.00,26,28452,Petrol,113,1,Blue,0,1600,3,3,5,1124,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1
17545.00,28,34547,Petrol,113,1,Blue,0,1600,3,3,5,1124,4,1,1,1,1,1,1,1,1,1,1,0,0,1,0
15800.00,30,41417,Petrol,113,1,Black,0,1600,3,3,5,1124,4,1,1,1,1,1,1,1,1,1,1,0,1,1,0
17000.00,29,44144,Petrol,113,0,Grey,0,1600,3,3,5,1124,4,1,1,1,1,1,1,0,1,1,1,0,1,0,0
18000.00,31,11092,Petrol,113,1,Blue,0,1600,3,3,5,1124,4,1,1,1,1,1,1,1,1,1,1,0,1,0,0
13000.00,30,9752,Petrol,100,1,Silver,0,1400,3,3,5,1104,10,1,1,1,0,0,0,0,0,0,1,1,0,0,0
15800.00,23,35201,Petrol,100,1,Blue,0,1400,3,3,5,1104,4,1,1,1,1,0,1,1,1,1,1,0,1,1,1
16000.00,28,29512,Petrol,100,1,Black,0,1400,3,3,5,1104,4,1,1,1,1,0,1,0,1,1,1,0,1,0,0
15000.00,27,32694,Petrol,100,1,Grey,0,1400,3,3,5,1104,4,1,1,1,1,0,1,0,1,1,1,0,1,0,0
15550.00,23,41002,Petrol,100,1,Grey,0,1400,3,3,5,1104,4,0,1,1,1,0,1,1,1,1,1,0,1,0,0
15800.00,27,43002,Petrol,100,0,Grey,0,1400,3,3,5,1104,4,1,1,1,1,0,1,1,1,1,1,0,1,0,0
16000.00,26,25002,Petrol,100,0,Grey,0,1400,3,3,5,1104,4,1,1,1,1,0,1,1,1,1,1,0,1,0,0
15000.00,24,10002,Petrol,100,1,Blue,0,1400,3,3,5,1104,4,1,1,1,1,0,1,0,1,1,1,0,1,0,0
15800.00,33,25331,Petrol,100,1,Green,0,1400,3,3,5,1104,4,1,1,1,1,0,1,1,1,1,1,0,1,0,0
14800.00,28,27502,Petrol,100,0,Blue,0,1400,3,3,5,1104,4,1,1,1,1,0,1,0,0,0,1,0,1,0,0
14000.00,23,49061,Petrol,100,0,Blue,0,1400,3,3,5,1104,4,1,1,1,1,0,1,0,0,0,1,0,1,0,0
